country,year,medal,count,population
Finland,1988,Silver,23,4946481
South Korea,2016,Bronze,10,51245707
Philippines,1992,Bronze,1,65020116
Bulgaria,2008,Gold,1,7492561
Indonesia,1988,Silver,3,174975954
United States of America,2006,Gold,9,298379912
Poland,1996,Bronze,7,38624370
Estonia,2010,Silver,1,1331475
France,1988,Gold,13,57627105
Germany,1994,Silver,10,81438348
Slovakia,2004,Gold,3,5372280
India,1996,Bronze,1,982365243
Japan,2012,Gold,7,127629000
Cuba,2000,Bronze,12,11126430
Australia,1960,Bronze,11,10276477
South Korea,2012,Gold,18,50199853
Grenada,2016,Silver,1,110261
Indonesia,1996,Bronze,3,199901228
Sweden,2000,Gold,4,8872109
Australia,2000,Silver,69,19153000
Bulgaria,1992,Silver,7,8540164
Puerto Rico,2012,Bronze,1,3634488
Austria,2014,Silver,12,8546356
Italy,1968,Gold,13,53235750
Italy,2016,Bronze,24,60627498
Japan,1988,Silver,3,122613000
Armenia,1996,Gold,1,3168221
Czech Republic,1996,Bronze,4,10315241
France,2010,Gold,2,65027507
Poland,2012,Silver,2,38063164
Sweden,2004,Bronze,2,8993531
Hungary,1992,Bronze,8,10369341
United States of America,1976,Silver,61,218035000
Switzerland,1994,Bronze,4,6993795
Austria,2010,Bronze,6,8363404
Turkey,2000,Bronze,2,63240194
United Kingdom,1994,Bronze,3,57865745
New Zealand,1984,Gold,16,3227100
Hungary,1996,Bronze,26,10311238
Canada,1976,Gold,1,23449808
Australia,2002,Gold,2,19651400
Belarus,2000,Silver,8,9979610
Spain,1972,Gold,1,34604469
United States of America,1960,Gold,100,180671000
Croatia,2006,Silver,2,4311159
Australia,2004,Bronze,31,20127400
North Korea,2012,Bronze,2,24800612
Romania,2000,Bronze,13,22442971
Italy,1996,Bronze,28,56860281
Japan,1960,Bronze,12,92500572
Italy,2000,Bronze,29,56942108
United Kingdom,1992,Bronze,39,57580402
North Korea,2016,Silver,3,25307744
Sweden,2014,Bronze,11,9696110
Mexico,1980,Bronze,9,67761372
Cameroon,2008,Gold,1,19252666
France,1996,Bronze,20,59753100
Poland,1968,Bronze,30,32294655
Czech Republic,2016,Gold,1,10566332
Czech Republic,2006,Gold,1,10238905
United States of America,2010,Silver,63,309326085
Germany,1964,Bronze,53,75318337
Switzerland,1998,Bronze,3,7110001
Algeria,2016,Silver,2,40551404
United Kingdom,2000,Bronze,12,58892514
Finland,1984,Gold,8,4881803
Netherlands,1994,Silver,1,15382838
Hungary,1968,Gold,32,10255815
Malaysia,2012,Bronze,1,29068159
Italy,1980,Bronze,8,56433883
China,2004,Gold,52,1296075000
Lithuania,1992,Gold,1,3700114
Portugal,1984,Gold,1,9996232
Japan,1972,Silver,20,107188000
Romania,1960,Silver,1,18406905
Georgia,1996,Bronze,2,4491699
China,2016,Bronze,37,1378665000
Canada,2010,Bronze,8,34004889
Hungary,1964,Gold,42,10119835
South Korea,1988,Gold,28,42031247
China,1994,Bronze,2,1191835000
Venezuela,1968,Gold,1,10702291
Hungary,1988,Silver,9,10596487
United Kingdom,1980,Bronze,24,56314216
Ethiopia,2004,Gold,2,74239505
Austria,1960,Gold,2,7047539
Iran,1976,Silver,1,33733961
Belarus,2012,Gold,3,9464495
Austria,2010,Gold,11,8363404
Germany,1992,Bronze,67,80624598
Sweden,2006,Silver,21,9080505
Ukraine,2004,Silver,8,47451600
Brazil,1988,Bronze,5,143627503
Sweden,2012,Gold,2,9519374
Estonia,2008,Gold,1,1337090
Japan,1976,Bronze,10,112771000
France,1998,Gold,2,60186288
Iran,1960,Bronze,3,21906914
Finland,2010,Bronze,46,5363352
Bulgaria,1964,Bronze,2,8144340
Finland,2000,Bronze,1,5176209
Germany,1988,Silver,113,78144619
Norway,2016,Bronze,19,5234519
Philippines,1996,Silver,1,71401749
Czech Republic,1998,Silver,1,10294373
Austria,1980,Bronze,4,7549433
Zimbabwe,2004,Bronze,1,12019912
Estonia,1992,Gold,1,1533091
Morocco,1996,Bronze,2,27383473
Georgia,2000,Bronze,6,4077131
Russia,2014,Silver,22,143819666
Hungary,2004,Gold,24,10107146
China,2000,Silver,23,1262645000
Uzbekistan,2012,Bronze,2,29774500
Poland,1960,Bronze,16,29637450
South Korea,1988,Silver,37,42031247
France,1960,Silver,6,46621669
Switzerland,1976,Silver,9,6302504
Sweden,1964,Silver,25,7661354
United Kingdom,2000,Gold,22,58892514
Romania,1960,Bronze,11,18406905
Azerbaijan,2004,Gold,1,8306500
Norway,1998,Gold,13,4431464
Estonia,2012,Bronze,1,1322696
Czech Republic,2000,Silver,3,10255063
Algeria,1996,Gold,2,29266405
Netherlands,1994,Bronze,3,15382838
Thailand,2012,Silver,2,67835957
Pakistan,1976,Bronze,16,68834326
Hungary,1960,Gold,13,9983967
Bahrain,2016,Gold,1,1425791
Cuba,1996,Bronze,10,10939293
Germany,1964,Gold,25,75318337
Poland,2016,Bronze,10,37970087
Romania,2004,Gold,23,21451748
Canada,2008,Gold,11,33247118
Norway,1992,Silver,30,4286401
Austria,1988,Silver,5,7585317
Armenia,2016,Gold,1,2936146
Colombia,2008,Bronze,1,44254975
Romania,2012,Bronze,6,20058035
Norway,1994,Bronze,5,4336613
Croatia,2004,Gold,15,4304600
Canada,1994,Gold,3,29000663
Italy,2002,Gold,4,57059007
Hungary,1960,Bronze,37,9983967
Finland,2010,Silver,1,5363352
France,2002,Bronze,5,61805267
Kazakhstan,1994,Gold,1,16095199
United Kingdom,1996,Bronze,9,58166950
Puerto Rico,1976,Bronze,1,3043854
Switzerland,2000,Bronze,2,7184250
Sweden,2016,Gold,2,9923085
Australia,2014,Silver,2,23475686
Kenya,1984,Gold,1,19146400
Slovakia,2014,Gold,1,5418649
Belgium,1960,Bronze,2,9153489
Spain,2008,Bronze,16,45954106
Denmark,2008,Bronze,6,5493621
Canada,2006,Gold,30,32571174
Turkey,1988,Silver,1,52053765
Argentina,2016,Silver,1,43590368
Belgium,2016,Gold,2,11331422
Denmark,1984,Bronze,10,5111619
Liechtenstein,1980,Gold,2,25879
Venezuela,2012,Gold,1,29362449
France,2002,Gold,5,61805267
Sweden,2016,Bronze,3,9923085
Saudi Arabia,2012,Bronze,4,29155187
Mexico,1992,Silver,1,87075138
Australia,1980,Gold,6,14692000
Latvia,2004,Silver,4,2263122
Italy,2012,Gold,16,59539717
Hungary,1980,Silver,15,10711122
China,1996,Gold,20,1217550000
Belgium,1972,Silver,2,9711115
Russia,1976,Bronze,88,135147000
Romania,1988,Gold,8,23057662
Syria,2004,Bronze,1,17827825
Belarus,2000,Gold,3,9979610
India,1980,Gold,16,698952844
Iceland,1984,Bronze,1,239511
Mongolia,1980,Bronze,2,1689622
Ukraine,2016,Silver,8,45004645
Netherlands,2000,Bronze,23,15925513
Belgium,1998,Bronze,1,10203008
Mongolia,1980,Silver,2,1689622
Sweden,2006,Gold,35,9080505
Germany,2004,Silver,45,82516260
